,X,Year,Site,Temp,pcnt,Pop,PopWt,PopSE,Species,BMpcnt,pcntSE
54,54,2008,C24,13.54680851,0.8,0.168274434,0.416666667,1.111111864,Species1,1.880576171,0.178885438
56,56,2007,C46,16.39574468,0,-7.378383713,1,4.03560927,Species1,-1.620389092,0.3
57,57,2007,C02,16.15744681,0.333333333,0.153236234,1.5,0.486940712,Species1,0.150595531,0.096225045
58,58,2007,C13,16.60638298,0.578947368,-0.400630627,0.666666667,2.659958759,Species1,-1.140852285,0.113268966
60,60,2007,C24,16.60638298,0.875,-0.285081439,0.75,1.025189209,Species1,-1.052235897,0.116926793
62,62,2006,C02,14.92978723,0.692307692,0.724020776,4.666666667,0.650760364,Species1,-0.563047869,0.073905302
63,63,2006,C46,14.8893617,0.666666667,7.378383713,1,4.03560927,Species1,2.802038058,0.272165527
64,64,2006,C20,14.77021277,0.666666667,3.878847143,0.4,2.391327753,Species1,4.719790265,0.272165527
65,65,2006,C24,15.11914894,0.875,1.083108979,2,2.426043644,Species1,-0.205393188,0.082679728
66,66,2006,C13,15.11914894,0.941176471,4.636416041,2,0.542865282,Species1,0.337063049,0.057067206
67,67,2006,C61,15.12765957,1,-1.182393751,0.583333333,2.426641668,Species1,-0.556230429,0
70,70,2009,C13,13.47234043,0.333333333,2.891980769,0.333333333,1.976457281,Species1,0.627882607,0.086066297
71,71,2009,C32,13.02340426,0,0,1.00E-04,0,Species1,2.166445001,0.15
72,72,2009,C24,13.47234043,0.944444444,-0.568558477,1.166666667,2.479108254,Species1,1.734258983,0.031171312
74,74,2009,C02,13.17446809,0.807017544,0,1.00E-04,0,Species1,-1.210429324,0.052271261
76,76,2012,C01,14.2,0.862068966,-0.753174233,1.416666667,2.820689394,Species1,1.264893401,0.064032875
77,77,2012,C20,14.2,0.4,-0.754114526,1.416666667,2.735803515,Species1,3.980307579,0.219089023
79,79,2012,C24,14.42340426,0.733333333,0.54206099,1.6,0.996185789,Species1,-0.767038958,0.114179845
80,80,2012,C09,14.2,1,0.973268512,1.25,2.695914445,Species1,-0.331506138,0
81,81,2012,C02,14.35319149,0.9375,4.994957481,8.5,0.300888914,Species1,0.227689761,0.042790825
82,82,2012,C13,14.42340426,0.6,0.365067489,1,0.940009969,Species1,-0.002365783,0.219089023
84,84,2013,C20,12.66382979,0,1.025296371,2.25,2.937834833,Species1,0.137889187,0.122474487
85,85,2013,C01,12.66382979,0.803571429,1.024157569,2.25,2.820689394,Species1,-0.344019181,0.053090958
86,86,2013,C13,13.45106383,0.04,0.266854322,1,0.800179493,Species1,0.730014813,0.039191836
87,87,2013,C24,13.45106383,0.723404255,0.050984368,0.2,0.799248052,Species1,-0.459508569,0.065247571
88,88,2013,C02,12.73617021,0.697674419,-0.402084823,2.833333333,0.577627036,Species1,-0.264016336,0.070037336
89,89,2013,C69,12.73617021,0.571428571,0,1.00E-04,0.903879278,Species1,0.1058218,0.132260014
90,90,2013,C74,12.73617021,0,-0.452687869,4.666666667,0.468658834,Species1,-0.377944474,0.06882472
91,91,2011,C01,12.83829787,0,0.286353056,0.666666667,1.144397767,Species1,-1.525446511,0.212132034
93,93,2011,C13,13.37659574,0.666666667,0.517336152,0.916666667,2.659958759,Species1,0.878197287,0.272165527
94,94,2011,C24,13.37659574,0.80952381,0.557273028,0.95,2.566031444,Species1,-0.038566315,0.085689087
96,96,2011,C02,13.00851064,0.714285714,-3.569808825,2,0.530704437,Species1,0.054722568,0.098580794
97,97,2011,C69,13.00851064,1,0.286025071,1,0.763194469,Species1,-2.019039816,0
109,109,2003,C53,17.66222222,0.75,0.136861679,1.333333333,0.498692961,Species2,0.1501664,0.216506351
111,111,2003,C30,17.72444444,0.142857143,-0.16114413,3,0.331083307,Species2,1.044310784,0.132260014
113,113,2003,C20,17.14,0,-0.068213194,0.5,0.523740984,Species2,0.337551804,0.3
114,114,2003,C08,17.77111111,0.285714286,-0.220424073,2.060606061,0.473859369,Species2,0.267593176,0.170746944
116,116,2003,C19,17.23555556,0.125,-0.756908418,7,0.503045883,Species2,-0.174482646,0.116926793
117,117,2003,C13,17.19777778,0,-0.284736562,1,0.79647804,Species2,-0.047514285,0.173205081
118,118,2003,C09,17.14,0,-0.027945639,0.142857143,0.684744193,Species2,-2.615747072,0.173205081
119,119,2003,C24,17.19777778,0.222222222,-0.141904313,0.666666667,0.705168077,Species2,-4.026851212,0.138579903
120,120,2003,C48,17.88222222,0.4375,0.840435924,6.75,0.541962846,Species2,-1.882653562,0.124019593
124,124,2003,C11,17.23555556,0,-2.701499037,4,0.505520407,Species2,-1.977012379,0.3
125,125,2003,C56,17.79111111,0.5,0.504825749,4,0.541828616,Species2,-0.53505255,0.204124145
127,127,2003,C46,16.14888889,0.333333333,-0.132625929,0.5,0.831184137,Species2,-0.321000659,0.272165527
129,129,2003,C02,17.23555556,0,-0.12382026,0.666666667,0.642732919,Species2,-0.305454831,0.134164079
131,131,2003,C31,17.17333333,0.25,0.031345042,0.333333333,0.473753538,Species2,-1.180384909,0.216506351
132,132,1999,C06,15.46,0.5,1.316824277,1.628571429,2.402303177,Species2,-0.582146327,0.11785113
136,136,1999,C14,15.64222222,0.142857143,-0.071191268,0.625,0.493832841,Species2,0.702684979,0.093521953
138,138,1999,C30,16.22222222,0,-0.350066329,3,0.504016091,Species2,-2.241778057,0.173205081
139,139,1999,C08,15.99555556,0.357142857,-0.023276087,0.218181818,0.46409268,Species2,0.326646527,0.128060208
140,140,1999,C09,15.69555556,0.166666667,0.08639652,0.5,0.622178447,Species2,0.980799158,0.152145155
142,142,1999,C19,15.79777778,0.238095238,-1.718395611,10,0.802634997,Species2,-0.719760428,0.092942864
143,143,1999,C07,15.44666667,0.142857143,-1.58061246,4,2.117138685,Species2,-0.935791526,0.093521953
145,145,1999,C25,16.02666667,0.181818182,0.555229569,9,0.374509574,Species2,0.579260576,0.1162913
146,146,1999,C20,15.69555556,0,-0.486691921,3.5,0.540271885,Species2,0.548467162,0.15
147,147,1999,C32,15.99555556,0,-0.110280458,1.321428571,0.439726056,Species2,-3.114909196,0.3
149,149,1999,C04,15.79777778,0.2,-0.219999028,1,0.780467101,Species2,1.372550933,0.126491106
150,150,1999,C02,15.62444444,0.4,-0.17015911,1,0.651087267,Species2,0.779458278,0.219089023
152,152,1999,C13,16.05777778,0.5,-0.284736562,1,0.873130547,Species2,-0.759142803,0.204124145
153,153,1999,C24,16.05777778,0,-0.284451052,1,0.931617612,Species2,1.696046231,0.134164079
154,154,1999,C47,14.99333333,0.2,0.39909103,1,1.042375038,Species2,1.726195635,0.178885438
155,155,1999,C48,16.1,0.9,0.011995337,0.142857143,0.41638088,Species2,1.108601049,0.09486833
156,156,2000,C06,14.57333333,0,0.238772569,0.6,1.024488446,Species2,-0.008711851,0.3
157,157,2000,C31,15.1,1,0.419448983,4.5,0.451490491,Species2,0.919293902,0
160,160,2000,C30,15.51111111,0.2,0.984564782,12,0.445947419,Species2,-0.228591551,0.178885438
162,162,2000,C14,14.71777778,0.588235294,0.28486317,2.791666667,0.492756705,Species2,1.173844831,0.119364625
163,163,2000,C09,15.02444444,0,-0.402088062,2,0.686964118,Species2,-0.336301233,0.212132034
165,165,2000,C28,15.3,0,0.289594904,1.212560386,0.741013,Species2,-5.065428054,0.3
168,168,2000,C26,15.34666667,0.2,0.218270058,1,0.767088137,Species2,-3.827762774,0.178885438
169,169,2000,C08,15.29333333,0.444444444,-0.367369702,2.848484848,0.520058618,Species2,-0.203962904,0.165634665
172,172,2000,C13,14.86444444,0,0.284736562,1,0.744679172,Species2,-3.467028886,0.3
173,173,2000,C02,15.16,0,-1.628646186,4.333333333,1.897256222,Species2,0.936776968,0.134164079
174,174,2000,C24,14.86444444,0,0.284451052,1,0.897188855,Species2,0.054066809,0.15
175,175,2000,C32,15.29333333,0.5,-0.528098817,4.65,0.542413734,Species2,1.172020872,0.353553391
176,176,1996,C10,15.41777778,0.269230769,0,1.00E-04,0.233670553,Species2,-0.202023504,0.086989292
177,177,1996,C31,14.84666667,0,0.197976281,2,0.463495591,Species2,0.928668734,0.173205081
178,178,1996,C04,15.03777778,0.454545455,0,1.00E-04,0.68397453,Species2,0.098326275,0.150131423
179,179,1996,C32,15.39555556,0,0.121551021,0.767857143,0.541730703,Species2,-1.496879377,0.3
180,180,1996,C26,15.22,0.466666667,0,1.00E-04,0.679121571,Species2,1.829772952,0.128812238
182,182,1996,C06,14.27777778,0.714285714,0,1.00E-04,3.722245148,Species2,1.208015318,0.170746944
184,184,1996,C24,15.05777778,1,0.221199916,1,0.739191505,Species2,-3.674679048,0
186,186,1996,C30,15.15777778,0.333333333,0.115640247,1,0.508249648,Species2,-0.542809761,0.272165527
187,187,1996,C16,15.15777778,0,0,1.00E-04,0.982782119,Species2,-0.481495025,0.113389342
188,188,1996,C08,15.39555556,0,0.664444205,4.585858586,0.599973257,Species2,1.234926257,0.113389342
189,189,1996,C09,14.89777778,0,0.274691087,1.066666667,0.79530354,Species2,4.181870561,0.3
191,191,1996,C02,15.03777778,0.111111111,-0.23893516,1.5,0.616635318,Species2,0.879596515,0.10475656
192,192,1996,C19,15.03777778,0.258064516,-0.502368277,13.5,0.279706055,Species2,0.384839564,0.078589834
195,195,1995,C04,15.65555556,0.363636364,-0.219999028,1,0.780137454,Species2,0.025548482,0.145040734
196,196,1995,C06,14.51555556,0.3125,-1.076007244,1.428571429,2.402303177,Species2,-0.714260829,0.115878101
201,201,1995,C08,15.71111111,0.111111111,-0.200528706,1.079365079,0.651324199,Species2,-0.57677565,0.10475656
202,202,1995,C09,15.34444444,0.333333333,-0.735572562,3.666666667,0.796643873,Species2,-1.921892421,0.272165527
203,203,1995,C07,14.80444444,0.375,-1.112168824,5.585714286,0.770953651,Species2,1.874855915,0.171163299
208,208,1997,C06,15.15777778,0.285714286,0.326846862,0.285714286,3.722245148,Species2,-0.241335563,0.170746944
210,210,1997,C39,15.15777778,0.333333333,0.196926198,0.160714286,3.749068251,Species2,-0.242846289,0.136082763
211,211,1997,C24,15.74666667,0,-0.221199916,1,0.705168077,Species2,1.145321842,0.3
212,212,1997,C30,15.85777778,0.4,-0.246423356,2,0.509060274,Species2,-0.615940338,0.154919334
213,213,1997,C08,15.86,0.142857143,-0.319831504,2.585858586,0.54807023,Species2,-2.188098445,0.132260014
215,215,1997,C09,15.59111111,0.4,0.126728395,0.6,0.672511624,Species2,0.198532676,0.219089023
216,216,1997,C23,16.06444444,0.269230769,0.167485881,7,0.221828555,Species2,-0.429680681,0.086989292
218,218,1997,C07,15.44444444,0.411764706,0.248997971,1,0.749607431,Species2,3.191324863,0.119364625
219,219,1997,C02,15.65111111,0.6,0,1.00E-04,0.681348868,Species2,-0.043350937,0.219089023
220,220,1997,C11,15.65111111,0,3.733701732,134.25,0.646219983,Species2,0.495214278,0.212132034
221,221,1997,C19,15.65555556,0.133333333,0.114094022,2.5,0.305681695,Species2,0.17523628,0.087770745
224,224,1997,C25,15.77777778,0.2,-0.050649841,0.5,0.443566255,Species2,-1.341017658,0.126491106
225,225,1997,C16,15.85777778,0,-1.064756449,2,2.030907638,Species2,-0.528159364,0.212132034
227,227,2004,C31,15.35555556,0.5,0.099773104,1.133333333,0.440991624,Species2,-0.664282764,0.353553391
229,229,2004,C53,15.40888889,0,-0.066091274,0.666666667,0.459723579,Species2,0.466850507,0.173205081
230,230,2004,C30,15.63555556,0.222222222,-0.317448131,4.666666667,0.375736055,Species2,-0.422292128,0.138579903
233,233,2004,C61,15.50444444,0.25,0.095614222,0.838383838,0.532119065,Species2,1.002910595,0.125
234,234,2004,C19,15.09777778,0.142857143,0.756908418,7,0.488229217,Species2,1.228679469,0.132260014
235,235,2004,C13,15.29777778,0,0.104183352,0.333333333,0.879845989,Species2,-4.694648729,0.212132034
236,236,2004,C24,15.29777778,0.2,-0.079295603,0.333333333,0.761691271,Species2,-1.816840413,0.178885438
237,237,2004,C48,15.52666667,0,0.066891829,0.821428571,0.419756425,Species2,-1.562166044,0.134164079
240,240,2004,C56,15.51555556,0.5,-0.033590329,0.333333333,0.45938455,Species2,0.66844308,0.158113883
243,243,2004,C46,14.51333333,0,0.132625929,0.5,0.881251361,Species2,0.18526168,0.173205081
246,246,2004,C55,15.50444444,0.333333333,0.22089977,1,0.794289604,Species2,0.927755194,0.136082763
248,248,2004,C02,15.22444444,0.428571429,-1.943378502,4.333333333,1.796194667,Species2,0.063889401,0.187043906
249,249,2004,C60,15.64444444,0.642857143,0,1.00E-04,0.385563117,Species2,-2.777684414,0.128060208
252,252,2001,C24,15.91555556,0.142857143,0,1.00E-04,0.686674666,Species2,1.269823722,0.132260014
253,253,2001,C30,16.16,0.357142857,0.075385519,1.5,0.317958304,Species2,-0.176935361,0.128060208
256,256,2001,C14,15.74666667,0.111111111,0.303930902,4,0.410558069,Species2,-0.578545651,0.10475656
258,258,2001,C08,16.19111111,0.333333333,0.098848364,0.666666667,0.563637881,Species2,1.030249269,0.272165527
259,259,2001,C11,16.05777778,0.444444444,0,1.00E-04,1.498621078,Species2,2.646620793,0.165634665
260,260,2001,C13,15.91555556,0.25,0,1.00E-04,0.687980021,Species2,-2.262425555,0.216506351
261,261,2001,C09,15.72222222,0,0.221118692,1,0.760611469,Species2,-1.079303134,0.212132034
262,262,2001,C02,16.05777778,0,1.745239454,5,1.877317576,Species2,-0.931802387,0.09486833
263,263,2001,C46,15.13111111,0.25,0.333580252,1,0.941378637,Species2,-0.003352298,0.216506351
264,264,2001,C48,16.25555556,0.466666667,0.143991991,1.475,0.459083595,Species2,-0.875646256,0.128812238
265,265,2001,C32,16.19111111,0.5,0.230580662,1.733333333,0.565602021,Species2,-1.704126576,0.353553391
270,270,1998,C26,15.26888889,0.384615385,-0.179059316,1,0.61304236,Species2,2.088028009,0.134932003
271,271,1998,C06,15.03555556,0.533333333,-0.541643546,0.428571429,2.45644138,Species2,0.093912034,0.128812238
273,273,1998,C39,15.03555556,0.5,-0.411940847,0.303571429,3.749068251,Species2,1.819872224,0.158113883
275,275,1998,C24,15.61111111,1,0,1.00E-04,0.771714974,Species2,3.915444707,0
276,276,1998,C08,15.42666667,0.272727273,0.323673422,2.622222222,0.541793263,Species2,-0.646504392,0.134281627
277,277,1998,C09,15.30666667,0,0.09457285,0.5,0.620838113,Species2,-1.971923537,0.15
278,278,1998,C23,15.72888889,0.32,0.074277555,3.5,0.202501837,Species2,-0.685751558,0.09329523
280,280,1998,C07,15.08,0.357142857,0.104548486,0.5,0.735964146,Species2,-0.534771798,0.128060208
282,282,1998,C02,15.44222222,0.25,0.139711793,0.833333333,0.602642708,Species2,0.650257844,0.216506351
283,283,1998,C19,15.40888889,0.304347826,-0.643279692,11,0.343271282,Species2,0.631058455,0.095943876
285,285,1998,C04,15.40888889,0.166666667,0.305584339,1.333333333,0.812772347,Species2,0.540836708,0.087841046
286,286,1998,C25,15.42,0.166666667,0.230931062,2.5,0.44059363,Species2,-0.389865868,0.152145155
287,287,1998,C11,15.44222222,0.5,-6.169640477,137.25,0.080295818,Species2,1.384600504,0.25
289,289,1998,C20,15.30666667,0.333333333,-0.199011798,2,0.46167834,Species2,2.525757589,0.272165527
293,293,1994,C09,15.61111111,0,0.153183711,1,0.545082693,Species2,0.682713207,0.113389342
295,295,2010,C65,17.94,0.15625,0.168850059,2.766666667,0.354505397,Species2,0.683885093,0.064186237
298,298,2010,C36,17.36666667,0.285714286,-0.402397898,11,0.27918864,Species2,-0.437244964,0.170746944
299,299,2010,C30,17.31111111,0.166666667,0.124346847,3,0.284292045,Species2,-1.695636017,0.152145155
301,301,2010,C13,16.50444444,0,-0.622422162,2.333333333,0.79073203,Species2,-1.379872793,0.173205081
303,303,2010,C58,16.73555556,0.166666667,0.688334604,1.333333333,2.725681157,Species2,-0.110035749,0.152145155
304,304,2010,C20,16.78222222,0,0.444196177,2.941176471,0.606306384,Species2,-0.898060806,0.3
305,305,2010,C73,16.59111111,0.333333333,0.131656861,0.5,0.87221689,Species2,-1.942805186,0.272165527
306,306,2010,C47,16.14888889,0,-0.013321186,0.050505051,0.763347657,Species2,-1.281612233,0.15
307,307,2010,C46,15.54222222,0,0,1.00E-04,0,Species2,-0.755975273,0.15
308,308,2010,C01,16.78222222,0.166666667,0.250741527,1.875,0.566021636,Species2,-0.598744952,0.152145155
311,311,2010,C06,15.92666667,0.291666667,-0.386303008,1.033333333,1.083298017,Species2,0.708910349,0.092780481
313,313,2010,C78,17.36666667,0.4,-0.073167681,0.5,0.593800403,Species2,-0.320390959,0.219089023
314,314,2010,C49,16.78222222,0,-0.158819974,1.333333333,0.509285084,Species2,-0.05849501,0.106066017
316,316,2010,C66,16.36666667,0.5,0.711968025,4.2,0.650766047,Species2,0.366972478,0.25
318,318,2010,C19,17.36666667,0.333333333,-0.402673854,11,0.275576366,Species2,-1.301795484,0.136082763
319,319,2010,C02,17.19555556,0,-1.085953892,6,0.709167398,Species2,-0.546424575,0.113389342
320,320,2010,C04,17.36666667,0.787878788,0.079233124,0.5,0.593864679,Species2,-0.526264532,0.050321061
321,321,2010,C09,16.78222222,0.5,-0.089637787,0.25,0.988144828,Species2,1.495993817,0.353553391
322,322,2010,C69,17.19555556,0.25,-0.158827866,0.875,0.647804204,Species2,-0.483907146,0.153093109
323,323,2010,C31,16.41777778,0.4,-0.288848196,4.65,0.352688388,Species2,-0.059804673,0.154919334
324,324,2010,C56,17.43555556,0.1,0,1.00E-04,0.504825749,Species2,-1.239124255,0.09486833
329,329,2010,C24,16.50444444,0,-0.165424756,0.666666667,0.730065703,Species2,0.60586136,0.3
331,331,2007,C32,16.65555556,0.5,0.608328203,6.266666667,0.465834364,Species2,-0.040405234,0.176776695
334,334,2007,C53,16.79111111,0.428571429,-0.260287127,3,0.464319486,Species2,1.108138065,0.187043906
335,335,2007,C30,16.59777778,0.142857143,0.217624744,4.333333333,0.314618499,Species2,-0.332808907,0.132260014
336,336,2007,C13,16.43777778,0,-0.104183352,0.333333333,0.879845989,Species2,0.548089411,0.173205081
341,341,2007,C69,16.60666667,0.5,0.342948103,5.25,0.368803304,Species2,-0.012078695,0.144337567
344,344,2007,C56,16.62,0.2,-0.104358033,1,0.466602385,Species2,-0.200402768,0.126491106
345,345,2007,C24,16.43777778,0,-0.165424756,0.666666667,0.873616094,Species2,0.856208705,0.134164079
347,347,2007,C31,16.16888889,0.5,0.096680563,1.333333333,0.375770667,Species2,-1.497854685,0.204124145
348,348,2007,C09,16.48,0.5,-0.311172621,1.214285714,0.743630028,Species2,-3.06274966,0.353553391
349,349,2007,C02,16.60666667,0.315789474,0.493233086,4.5,0.501255954,Species2,0.214840728,0.106639205
350,350,2007,C46,15.69111111,0,0.402648818,1.5,0.884352597,Species2,-0.924524052,0.15
355,355,2008,C30,16.25777778,0.2,-0.094601211,2,0.311463638,Species2,1.565536422,0.178885438
356,356,2008,C74,16.52888889,0,0.264717725,4,0.398691588,Species2,-1.450192204,0.134164079
358,358,2008,C13,16.44888889,0.4,-0.681451141,1.5,2.163893915,Species2,-0.860382201,0.219089023
359,359,2008,C09,16.30222222,0,0.273778402,1.047619048,0.79530354,Species2,1.4204301,0.134164079
360,360,2008,C53,16.65111111,0.166666667,0.297770719,3.5,0.391008346,Species2,-1.220106253,0.152145155
363,363,2008,C69,16.52888889,0.166666667,-0.323654679,5,0.394559569,Species2,0.644660113,0.107582871
364,364,2008,C32,16.52888889,0.428571429,-0.857397894,7.916666667,0.504482541,Species2,-1.222165409,0.187043906
367,367,2008,C02,16.52888889,0.357142857,-0.243736841,2.5,0.489145838,Species2,-0.108269883,0.128060208
368,368,2008,C56,16.50222222,0.222222222,0.136856625,1.333333333,0.44913335,Species2,-0.510738823,0.138579903
369,369,2008,C24,16.44888889,0,-0.378066134,1.166666667,0.878562794,Species2,-1.534016843,0.212132034
371,371,2008,C31,15.76444444,0.666666667,-0.071620102,1,0.405006765,Species2,-0.763881646,0.19245009
372,372,2008,C46,15.81777778,0,-0.803904307,2.5,1.08742543,Species2,1.755759335,0.212132034
377,377,2009,C30,16.40444444,0.375,0.11691645,2.5,0.302899111,Species2,0.516835003,0.171163299
378,378,2009,C13,16.00444444,0,1.187559775,3.5,2.021525634,Species2,-0.332907553,0.212132034
379,379,2009,C53,16.45333333,0,-0.265270989,3.166666667,0.420301167,Species2,-2.542283689,0.173205081
380,380,2009,C47,15.35555556,0,-0.131118451,0.534722222,0.730135672,Species2,0.753547956,0.173205081
381,381,2009,C69,16.01777778,0,-0.786561896,7.125,0.518392309,Species2,0.622749985,0.122474487
383,383,2009,C02,16.01777778,0.333333333,0,1.00E-04,0.467071037,Species2,-0.339207897,0.19245009
384,384,2009,C56,16.35777778,0.25,-0.17421165,1.666666667,0.454257488,Species2,-0.223597126,0.153093109
385,385,2009,C46,15.17333333,0,-4.373874943,2,0.540939553,Species2,-0.987672489,0.15
386,386,2009,C78,15.93333333,0.428571429,-0.132001531,1,0.567337121,Species2,0.792771431,0.187043906
388,388,2009,C24,16.00444444,0.333333333,0.54349089,1.833333333,0.931617612,Species2,3.458431057,0.272165527
390,390,2009,C09,15.88222222,0.5,-0.405556226,1.458333333,0.877585482,Species2,-2.178280307,0.25
392,392,2009,C31,16.02,1,0.319315632,5.066666667,0.343275557,Species2,-0.334102118,0
395,395,2011,C76,15.56444444,0,0.321953623,1.111111111,0.88100039,Species2,0.613184715,0.134164079
396,396,2011,C36,16.00222222,0.5,0.126730259,3,0.279704927,Species2,-0.354576529,0.11785113
397,397,2011,C30,16.32666667,0.4,-0.832742099,14.5,0.359433743,Species2,-1.002256168,0.154919334
398,398,2011,C13,15.81111111,0,0.22049688,0.666666667,1.017923713,Species2,-0.169295438,0.122474487
399,399,2011,C66,15.5,0.5625,-0.491113158,3.2,0.585355105,Species2,-1.143655581,0.124019593
401,401,2011,C58,15.70222222,0.428571429,-0.046290319,0.121212121,1.090067984,Species2,-1.47828511,0.187043906
402,402,2011,C47,15.56444444,0.363636364,0.166995648,0.684491979,0.823534623,Species2,0.652684774,0.145040734
406,406,2011,C06,15.62666667,0.461538462,-0.079100898,0.166666667,1.225177201,Species2,-0.481886356,0.097767525
408,408,2011,C78,16.00222222,0.615384615,0,1.00E-04,0.603024789,Species2,0.476138612,0.134932003
409,409,2011,C49,15.63555556,0.25,-0.131188763,0.952380952,0.543189526,Species2,-0.296273237,0.153093109
412,412,2011,C02,15.95333333,0.454545455,1.285465839,8,0.730756061,Species2,-0.032453739,0.150131423
413,413,2011,C19,16.00222222,0.181818182,-0.315322855,6,0.321639846,Species2,-0.289529404,0.1162913
414,414,2011,C04,16.00222222,0.363636364,-0.165288564,1,0.618640309,Species2,0.256565851,0.145040734
415,415,2011,C09,15.63555556,0.2,0.247901796,0.75,1.019743678,Species2,-0.217153316,0.178885438
416,416,2011,C69,15.95333333,0.2,-0.597222311,2.285714286,0.773016062,Species2,-0.912460404,0.178885438
417,417,2011,C27,16.66888889,0.75,0.422762347,18,0.21876288,Species2,-1.997205473,0.216506351
418,418,2011,C31,15.87111111,0.583333333,0.210311374,3.25,0.382203212,Species2,0.210662344,0.142318761
